name;type;content;alignment
<AG_T3_T5_3a_dat_Anwalt_Diva.wav>;text;<Der Anwalt des Fahrers befragte die Diva. Die Diva führte sehr überzeugende Argumente an.>;left
<AG_T3_T5_3b_gen_Fahrer_Dame.wav>;text;<Da der Fahrer der Dame noch nie an diesem Schloss gewesen war, gab ihm der Schlossherr eine genaue Wegbeschreibung>;left
<AG_T3_T5_3c_dat_Onkel_Nonne.wav>;text;<Die Nonne gewann den Hauptpreis beim Fest der Bauernfamilie. Der Onkel des HoDesitzers hielt eine Glückwunschrede.>;left
<AG_T3_T5_3d_gen_Schwager_Tante.wav>;text;<Die Renovierung eines alten Weinguts sollte mit einem großen Fest abgeschlossen werden. Dazu half die ganze Familie mit.>;left
<AG_T3_T5_3e_dat_Gärtner_Oma.wav>;text;<Die Oma hatte beschlossen, dass sich ein Apfelbaum vor dem Haus gut machen würde, obwohl es dort reichlich Schatten gab.>;left
<AG_T3_T5_3f_gen_Partner_Freundin.wav>;text;<Bei der Aufführung war der ganze Freundeskreis der Solistin da, um die Freundin bei ihrem Auftritt zu unterstützen. Ein Platz in der ersten Reihe blieb jedoch leer.>;left
<AG_T3_T5_3g_dat_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich die Gräfin und begab sich in ihre Räume.>;left
<AG_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;text;<Die Schwäbin haMe einen Lehrer für das Hochdeutsche angestellt. Eine Gruppe Berliner fragte den Lehrer nach Besonderheiten des Schwäbischen.>;left
<AG_T3_T5_3i_dat_Rabe_Heldin.wav>;text;<Der Rabe lebte schon seit Jahren im höchsten Turm der Burg, war jedoch nie zutraulich geworden. Als die Heldin in den Hof stürmte, befahl sie dem Raben, zu ihr zu kommen.>;left
<AG_T3_T5_5a_gen_Anwalt_Diva.wav>;text;<Zu Prozessbeginn gab der Richter einige Fakten bekannt, die bereits zuvor von allen Beteiligten schriSlich abgezeichnet worden waren.>;left
<AG_T3_T5_5b_dat_Fahrer_Dame.wav>;text;<Da der Fahrer den Weg zum Schloss nicht genau kannte, musste er sich die nöTgen InformaTonen aus der verwirrenden Erzählung der Dame holen.>;left
<AG_T3_T5_5c_gen_Onkel_Nonne.wav>;text;<Das Kloster haMe ein neues Gebetsbuch zusammengestellt und veröffentlicht.>;left
<AG_T3_T5_5d_dat_Schwager_Tante.wav>;text;<Die Tante hatte nur einen Tag Zeit um alles von Wohnung A zu Wohnung B zu transportieren.>;left
<AG_T3_T5_5e_gen_Gärtner_Oma.wav>;text;<Der Gärtner war eigentlich immer der gleichen Meinung wie die Oma. Als die Enkel versuchten, die Oma davon abzuhalten den alten Kirschbaum zu fällen, erwarteten sie daher keine Zustimmung vom Gärtner der Oma.>;left
<AG_T3_T5_5f_dat_Partner_Freundin.wav>;text;<Der Partner der Freundin unternahm eine Weltreise – ohne sie.>;left
<AG_T3_T5_5g_gen_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich der Graf und begab sich in den Garten.>;left
<AG_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;text;<Die Schwäbin fragte den Lehrer nach urschwäbischen Wörtern.>;left
<AG_T3_T5_5i_gen_Rabe_Heldin.wav>;text;<Der Rabe der Heldin kam mit einer BotschaS zum König. Als dieser dem Raben befahl, sich auf seiner Lehne niederzulassen, gehorchte der Rabe dem König ohne zu zögern.>;left
<AH_T3_T5_3a_dat_Anwalt_Diva.wav>;text;<Der Anwalt des Fahrers befragte die Diva. Die Diva führte sehr überzeugende Argumente an.>;left
<AH_T3_T5_3b_gen_Fahrer_Dame.wav>;text;<Da der Fahrer der Dame noch nie an diesem Schloss gewesen war, gab ihm der Schlossherr eine genaue Wegbeschreibung>;left
<AH_T3_T5_3c_dat_Onkel_Nonne.wav>;text;<Die Nonne gewann den Hauptpreis beim Fest der Bauernfamilie. Der Onkel des HoDesitzers hielt eine Glückwunschrede.>;left
<AH_T3_T5_3d_gen_Schwager_Tante.wav>;text;<Die Renovierung eines alten Weinguts sollte mit einem großen Fest abgeschlossen werden. Dazu half die ganze Familie mit.>;left
<AH_T3_T5_3e_dat_Gärtner_Oma.wav>;text;<Die Oma hatte beschlossen, dass sich ein Apfelbaum vor dem Haus gut machen würde, obwohl es dort reichlich Schatten gab.>;left
<AH_T3_T5_3f_gen_Partner_Freundin.wav>;text;<Bei der Aufführung war der ganze Freundeskreis der Solistin da, um die Freundin bei ihrem Auftritt zu unterstützen. Ein Platz in der ersten Reihe blieb jedoch leer.>;left
<AH_T3_T5_3g_dat_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich die Gräfin und begab sich in ihre Räume.>;left
<AH_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;text;<Die Schwäbin haMe einen Lehrer für das Hochdeutsche angestellt. Eine Gruppe Berliner fragte den Lehrer nach Besonderheiten des Schwäbischen.>;left
<AH_T3_T5_3i_dat_Rabe_Heldin.wav>;text;<Der Rabe lebte schon seit Jahren im höchsten Turm der Burg, war jedoch nie zutraulich geworden. Als die Heldin in den Hof stürmte, befahl sie dem Raben, zu ihr zu kommen.>;left
<AH_T3_T5_5a_gen_Anwalt_Diva.wav>;text;<Zu Prozessbeginn gab der Richter einige Fakten bekannt, die bereits zuvor von allen Beteiligten schriSlich abgezeichnet worden waren.>;left
<AH_T3_T5_5b_dat_Fahrer_Dame.wav>;text;<Da der Fahrer den Weg zum Schloss nicht genau kannte, musste er sich die nöTgen InformaTonen aus der verwirrenden Erzählung der Dame holen.>;left
<AH_T3_T5_5c_gen_Onkel_Nonne.wav>;text;<Das Kloster haMe ein neues Gebetsbuch zusammengestellt und veröffentlicht.>;left
<AH_T3_T5_5d_dat_Schwager_Tante.wav>;text;<Die Tante hatte nur einen Tag Zeit um alles von Wohnung A zu Wohnung B zu transportieren.>;left
<AH_T3_T5_5e_gen_Gärtner_Oma.wav>;text;<Der Gärtner war eigentlich immer der gleichen Meinung wie die Oma. Als die Enkel versuchten, die Oma davon abzuhalten den alten Kirschbaum zu fällen, erwarteten sie daher keine Zustimmung vom Gärtner der Oma.>;left
<AH_T3_T5_5f_dat_Partner_Freundin.wav>;text;<Der Partner der Freundin unternahm eine Weltreise – ohne sie.>;left
<AH_T3_T5_5g_gen_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich der Graf und begab sich in den Garten.>;left
<AH_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;text;<Die Schwäbin fragte den Lehrer nach urschwäbischen Wörtern.>;left
<AH_T3_T5_5i_gen_Rabe_Heldin.wav>;text;<Der Rabe der Heldin kam mit einer BotschaS zum König. Als dieser dem Raben befahl, sich auf seiner Lehne niederzulassen, gehorchte der Rabe dem König ohne zu zögern.>;left
<AP_T3_T5_3a_dat_Anwalt_Diva.wav>;text;<Der Anwalt des Fahrers befragte die Diva. Die Diva führte sehr überzeugende Argumente an.>;left
<AP_T3_T5_3b_gen_Fahrer_Dame.wav>;text;<Da der Fahrer der Dame noch nie an diesem Schloss gewesen war, gab ihm der Schlossherr eine genaue Wegbeschreibung>;left
<AP_T3_T5_3c_dat_Onkel_Nonne.wav>;text;<Die Nonne gewann den Hauptpreis beim Fest der Bauernfamilie. Der Onkel des HoDesitzers hielt eine Glückwunschrede.>;left
<AP_T3_T5_3d_gen_Schwager_Tante.wav>;text;<Die Renovierung eines alten Weinguts sollte mit einem großen Fest abgeschlossen werden. Dazu half die ganze Familie mit.>;left
<AP_T3_T5_3e_dat_Gärtner_Oma.wav>;text;<Die Oma hatte beschlossen, dass sich ein Apfelbaum vor dem Haus gut machen würde, obwohl es dort reichlich Schatten gab.>;left
<AP_T3_T5_3f_gen_Partner_Freundin.wav>;text;<Bei der Aufführung war der ganze Freundeskreis der Solistin da, um die Freundin bei ihrem Auftritt zu unterstützen. Ein Platz in der ersten Reihe blieb jedoch leer.>;left
<AP_T3_T5_3g_dat_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich die Gräfin und begab sich in ihre Räume.>;left
<AP_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;text;<Die Schwäbin haMe einen Lehrer für das Hochdeutsche angestellt. Eine Gruppe Berliner fragte den Lehrer nach Besonderheiten des Schwäbischen.>;left
<AP_T3_T5_3i_dat_Rabe_Heldin.wav>;text;<Der Rabe lebte schon seit Jahren im höchsten Turm der Burg, war jedoch nie zutraulich geworden. Als die Heldin in den Hof stürmte, befahl sie dem Raben, zu ihr zu kommen.>;left
<AP_T3_T5_5a_gen_Anwalt_Diva.wav>;text;<Zu Prozessbeginn gab der Richter einige Fakten bekannt, die bereits zuvor von allen Beteiligten schriSlich abgezeichnet worden waren.>;left
<AP_T3_T5_5b_dat_Fahrer_Dame.wav>;text;<Da der Fahrer den Weg zum Schloss nicht genau kannte, musste er sich die nöTgen InformaTonen aus der verwirrenden Erzählung der Dame holen.>;left
<AP_T3_T5_5c_gen_Onkel_Nonne.wav>;text;<Das Kloster haMe ein neues Gebetsbuch zusammengestellt und veröffentlicht.>;left
<AP_T3_T5_5d_dat_Schwager_Tante.wav>;text;<Die Tante hatte nur einen Tag Zeit um alles von Wohnung A zu Wohnung B zu transportieren.>;left
<AP_T3_T5_5e_gen_Gärtner_Oma.wav>;text;<Der Gärtner war eigentlich immer der gleichen Meinung wie die Oma. Als die Enkel versuchten, die Oma davon abzuhalten den alten Kirschbaum zu fällen, erwarteten sie daher keine Zustimmung vom Gärtner der Oma.>;left
<AP_T3_T5_5f_dat_Partner_Freundin.wav>;text;<Der Partner der Freundin unternahm eine Weltreise – ohne sie.>;left
<AP_T3_T5_5g_gen_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich der Graf und begab sich in den Garten.>;left
<AP_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;text;<Die Schwäbin fragte den Lehrer nach urschwäbischen Wörtern.>;left
<AP_T3_T5_5i_gen_Rabe_Heldin.wav>;text;<Der Rabe der Heldin kam mit einer BotschaS zum König. Als dieser dem Raben befahl, sich auf seiner Lehne niederzulassen, gehorchte der Rabe dem König ohne zu zögern.>;left
<BH_T3_T5_3a_dat_Anwalt_Diva.wav>;text;<Der Anwalt des Fahrers befragte die Diva. Die Diva führte sehr überzeugende Argumente an.>;left
<BH_T3_T5_3b_gen_Fahrer_Dame.wav>;text;<Da der Fahrer der Dame noch nie an diesem Schloss gewesen war, gab ihm der Schlossherr eine genaue Wegbeschreibung>;left
<BH_T3_T5_3c_dat_Onkel_Nonne.wav>;text;<Die Nonne gewann den Hauptpreis beim Fest der Bauernfamilie. Der Onkel des HoDesitzers hielt eine Glückwunschrede.>;left
<BH_T3_T5_3d_gen_Schwager_Tante.wav>;text;<Die Renovierung eines alten Weinguts sollte mit einem großen Fest abgeschlossen werden. Dazu half die ganze Familie mit.>;left
<BH_T3_T5_3e_dat_Gärtner_Oma.wav>;text;<Die Oma hatte beschlossen, dass sich ein Apfelbaum vor dem Haus gut machen würde, obwohl es dort reichlich Schatten gab.>;left
<BH_T3_T5_3f_gen_Partner_Freundin.wav>;text;<Bei der Aufführung war der ganze Freundeskreis der Solistin da, um die Freundin bei ihrem Auftritt zu unterstützen. Ein Platz in der ersten Reihe blieb jedoch leer.>;left
<BH_T3_T5_3g_dat_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich die Gräfin und begab sich in ihre Räume.>;left
<BH_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;text;<Die Schwäbin haMe einen Lehrer für das Hochdeutsche angestellt. Eine Gruppe Berliner fragte den Lehrer nach Besonderheiten des Schwäbischen.>;left
<BH_T3_T5_3i_dat_Rabe_Heldin.wav>;text;<Der Rabe lebte schon seit Jahren im höchsten Turm der Burg, war jedoch nie zutraulich geworden. Als die Heldin in den Hof stürmte, befahl sie dem Raben, zu ihr zu kommen.>;left
<BH_T3_T5_5a_gen_Anwalt_Diva.wav>;text;<Zu Prozessbeginn gab der Richter einige Fakten bekannt, die bereits zuvor von allen Beteiligten schriSlich abgezeichnet worden waren.>;left
<BH_T3_T5_5b_dat_Fahrer_Dame.wav>;text;<Da der Fahrer den Weg zum Schloss nicht genau kannte, musste er sich die nöTgen InformaTonen aus der verwirrenden Erzählung der Dame holen.>;left
<BH_T3_T5_5c_gen_Onkel_Nonne.wav>;text;<Das Kloster haMe ein neues Gebetsbuch zusammengestellt und veröffentlicht.>;left
<BH_T3_T5_5d_dat_Schwager_Tante.wav>;text;<Die Tante hatte nur einen Tag Zeit um alles von Wohnung A zu Wohnung B zu transportieren.>;left
<BH_T3_T5_5e_gen_Gärtner_Oma.wav>;text;<Der Gärtner war eigentlich immer der gleichen Meinung wie die Oma. Als die Enkel versuchten, die Oma davon abzuhalten den alten Kirschbaum zu fällen, erwarteten sie daher keine Zustimmung vom Gärtner der Oma.>;left
<BH_T3_T5_5f_dat_Partner_Freundin.wav>;text;<Der Partner der Freundin unternahm eine Weltreise – ohne sie.>;left
<BH_T3_T5_5g_gen_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich der Graf und begab sich in den Garten.>;left
<BH_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;text;<Die Schwäbin fragte den Lehrer nach urschwäbischen Wörtern.>;left
<BH_T3_T5_5i_gen_Rabe_Heldin.wav>;text;<Der Rabe der Heldin kam mit einer BotschaS zum König. Als dieser dem Raben befahl, sich auf seiner Lehne niederzulassen, gehorchte der Rabe dem König ohne zu zögern.>;left
<CF_T3_T5_3a_dat_Anwalt_Diva.wav>;text;<Der Anwalt des Fahrers befragte die Diva. Die Diva führte sehr überzeugende Argumente an.>;left
<CF_T3_T5_3b_gen_Fahrer_Dame.wav>;text;<Da der Fahrer der Dame noch nie an diesem Schloss gewesen war, gab ihm der Schlossherr eine genaue Wegbeschreibung>;left
<CF_T3_T5_3c_dat_Onkel_Nonne.wav>;text;<Die Nonne gewann den Hauptpreis beim Fest der Bauernfamilie. Der Onkel des HoDesitzers hielt eine Glückwunschrede.>;left
<CF_T3_T5_3d_gen_Schwager_Tante.wav>;text;<Die Renovierung eines alten Weinguts sollte mit einem großen Fest abgeschlossen werden. Dazu half die ganze Familie mit.>;left
<CF_T3_T5_3e_dat_Gärtner_Oma.wav>;text;<Die Oma hatte beschlossen, dass sich ein Apfelbaum vor dem Haus gut machen würde, obwohl es dort reichlich Schatten gab.>;left
<CF_T3_T5_3f_gen_Partner_Freundin.wav>;text;<Bei der Aufführung war der ganze Freundeskreis der Solistin da, um die Freundin bei ihrem Auftritt zu unterstützen. Ein Platz in der ersten Reihe blieb jedoch leer.>;left
<CF_T3_T5_3g_dat_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich die Gräfin und begab sich in ihre Räume.>;left
<CF_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;text;<Die Schwäbin haMe einen Lehrer für das Hochdeutsche angestellt. Eine Gruppe Berliner fragte den Lehrer nach Besonderheiten des Schwäbischen.>;left
<CF_T3_T5_3i_dat_Rabe_Heldin.wav>;text;<Der Rabe lebte schon seit Jahren im höchsten Turm der Burg, war jedoch nie zutraulich geworden. Als die Heldin in den Hof stürmte, befahl sie dem Raben, zu ihr zu kommen.>;left
<CF_T3_T5_5a_gen_Anwalt_Diva.wav>;text;<Zu Prozessbeginn gab der Richter einige Fakten bekannt, die bereits zuvor von allen Beteiligten schriSlich abgezeichnet worden waren.>;left
<CF_T3_T5_5b_dat_Fahrer_Dame.wav>;text;<Da der Fahrer den Weg zum Schloss nicht genau kannte, musste er sich die nöTgen InformaTonen aus der verwirrenden Erzählung der Dame holen.>;left
<CF_T3_T5_5c_gen_Onkel_Nonne.wav>;text;<Das Kloster haMe ein neues Gebetsbuch zusammengestellt und veröffentlicht.>;left
<CF_T3_T5_5d_dat_Schwager_Tante.wav>;text;<Die Tante hatte nur einen Tag Zeit um alles von Wohnung A zu Wohnung B zu transportieren.>;left
<CF_T3_T5_5e_gen_Gärtner_Oma.wav>;text;<Der Gärtner war eigentlich immer der gleichen Meinung wie die Oma. Als die Enkel versuchten, die Oma davon abzuhalten den alten Kirschbaum zu fällen, erwarteten sie daher keine Zustimmung vom Gärtner der Oma.>;left
<CF_T3_T5_5f_dat_Partner_Freundin.wav>;text;<Der Partner der Freundin unternahm eine Weltreise – ohne sie.>;left
<CF_T3_T5_5g_gen_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich der Graf und begab sich in den Garten.>;left
<CF_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;text;<Die Schwäbin fragte den Lehrer nach urschwäbischen Wörtern.>;left
<CF_T3_T5_5i_gen_Rabe_Heldin.wav>;text;<Der Rabe der Heldin kam mit einer BotschaS zum König. Als dieser dem Raben befahl, sich auf seiner Lehne niederzulassen, gehorchte der Rabe dem König ohne zu zögern.>;left
<CS_T3_T5_3a_dat_Anwalt_Diva.wav>;text;<Der Anwalt des Fahrers befragte die Diva. Die Diva führte sehr überzeugende Argumente an.>;left
<CS_T3_T5_3b_gen_Fahrer_Dame.wav>;text;<Da der Fahrer der Dame noch nie an diesem Schloss gewesen war, gab ihm der Schlossherr eine genaue Wegbeschreibung>;left
<CS_T3_T5_3c_dat_Onkel_Nonne.wav>;text;<Die Nonne gewann den Hauptpreis beim Fest der Bauernfamilie. Der Onkel des HoDesitzers hielt eine Glückwunschrede.>;left
<CS_T3_T5_3d_gen_Schwager_Tante.wav>;text;<Die Renovierung eines alten Weinguts sollte mit einem großen Fest abgeschlossen werden. Dazu half die ganze Familie mit.>;left
<CS_T3_T5_3e_dat_Gärtner_Oma.wav>;text;<Die Oma hatte beschlossen, dass sich ein Apfelbaum vor dem Haus gut machen würde, obwohl es dort reichlich Schatten gab.>;left
<CS_T3_T5_3f_gen_Partner_Freundin.wav>;text;<Bei der Aufführung war der ganze Freundeskreis der Solistin da, um die Freundin bei ihrem Auftritt zu unterstützen. Ein Platz in der ersten Reihe blieb jedoch leer.>;left
<CS_T3_T5_3g_dat_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich die Gräfin und begab sich in ihre Räume.>;left
<CS_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;text;<Die Schwäbin haMe einen Lehrer für das Hochdeutsche angestellt. Eine Gruppe Berliner fragte den Lehrer nach Besonderheiten des Schwäbischen.>;left
<CS_T3_T5_3i_dat_Rabe_Heldin.wav>;text;<Der Rabe lebte schon seit Jahren im höchsten Turm der Burg, war jedoch nie zutraulich geworden. Als die Heldin in den Hof stürmte, befahl sie dem Raben, zu ihr zu kommen.>;left
<CS_T3_T5_5a_gen_Anwalt_Diva.wav>;text;<Zu Prozessbeginn gab der Richter einige Fakten bekannt, die bereits zuvor von allen Beteiligten schriSlich abgezeichnet worden waren.>;left
<CS_T3_T5_5b_dat_Fahrer_Dame.wav>;text;<Da der Fahrer den Weg zum Schloss nicht genau kannte, musste er sich die nöTgen InformaTonen aus der verwirrenden Erzählung der Dame holen.>;left
<CS_T3_T5_5c_gen_Onkel_Nonne.wav>;text;<Das Kloster haMe ein neues Gebetsbuch zusammengestellt und veröffentlicht.>;left
<CS_T3_T5_5d_dat_Schwager_Tante.wav>;text;<Die Tante hatte nur einen Tag Zeit um alles von Wohnung A zu Wohnung B zu transportieren.>;left
<CS_T3_T5_5e_gen_Gärtner_Oma.wav>;text;<Der Gärtner war eigentlich immer der gleichen Meinung wie die Oma. Als die Enkel versuchten, die Oma davon abzuhalten den alten Kirschbaum zu fällen, erwarteten sie daher keine Zustimmung vom Gärtner der Oma.>;left
<CS_T3_T5_5f_dat_Partner_Freundin.wav>;text;<Der Partner der Freundin unternahm eine Weltreise – ohne sie.>;left
<CS_T3_T5_5g_gen_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich der Graf und begab sich in den Garten.>;left
<CS_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;text;<Die Schwäbin fragte den Lehrer nach urschwäbischen Wörtern.>;left
<CS_T3_T5_5i_gen_Rabe_Heldin.wav>;text;<Der Rabe der Heldin kam mit einer BotschaS zum König. Als dieser dem Raben befahl, sich auf seiner Lehne niederzulassen, gehorchte der Rabe dem König ohne zu zögern.>;left
<CSchr_T3_T5_3a_dat_Anwalt_Diva.wav>;text;<Der Anwalt des Fahrers befragte die Diva. Die Diva führte sehr überzeugende Argumente an.>;left
<CSchr_T3_T5_3b_gen_Fahrer_Dame.wav>;text;<Da der Fahrer der Dame noch nie an diesem Schloss gewesen war, gab ihm der Schlossherr eine genaue Wegbeschreibung>;left
<CSchr_T3_T5_3c_dat_Onkel_Nonne.wav>;text;<Die Nonne gewann den Hauptpreis beim Fest der Bauernfamilie. Der Onkel des HoDesitzers hielt eine Glückwunschrede.>;left
<CSchr_T3_T5_3d_gen_Schwager_Tante.wav>;text;<Die Renovierung eines alten Weinguts sollte mit einem großen Fest abgeschlossen werden. Dazu half die ganze Familie mit.>;left
<CSchr_T3_T5_3e_dat_Gärtner_Oma.wav>;text;<Die Oma hatte beschlossen, dass sich ein Apfelbaum vor dem Haus gut machen würde, obwohl es dort reichlich Schatten gab.>;left
<CSchr_T3_T5_3f_gen_Partner_Freundin.wav>;text;<Bei der Aufführung war der ganze Freundeskreis der Solistin da, um die Freundin bei ihrem Auftritt zu unterstützen. Ein Platz in der ersten Reihe blieb jedoch leer.>;left
<CSchr_T3_T5_3g_dat_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich die Gräfin und begab sich in ihre Räume.>;left
<CSchr_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;text;<Die Schwäbin haMe einen Lehrer für das Hochdeutsche angestellt. Eine Gruppe Berliner fragte den Lehrer nach Besonderheiten des Schwäbischen.>;left
<CSchr_T3_T5_3i_dat_Rabe_Heldin.wav>;text;<Der Rabe lebte schon seit Jahren im höchsten Turm der Burg, war jedoch nie zutraulich geworden. Als die Heldin in den Hof stürmte, befahl sie dem Raben, zu ihr zu kommen.>;left
<CSchr_T3_T5_5a_gen_Anwalt_Diva.wav>;text;<Zu Prozessbeginn gab der Richter einige Fakten bekannt, die bereits zuvor von allen Beteiligten schriSlich abgezeichnet worden waren.>;left
<CSchr_T3_T5_5b_dat_Fahrer_Dame.wav>;text;<Da der Fahrer den Weg zum Schloss nicht genau kannte, musste er sich die nöTgen InformaTonen aus der verwirrenden Erzählung der Dame holen.>;left
<CSchr_T3_T5_5c_gen_Onkel_Nonne.wav>;text;<Das Kloster haMe ein neues Gebetsbuch zusammengestellt und veröffentlicht.>;left
<CSchr_T3_T5_5d_dat_Schwager_Tante.wav>;text;<Die Tante hatte nur einen Tag Zeit um alles von Wohnung A zu Wohnung B zu transportieren.>;left
<CSchr_T3_T5_5e_gen_Gärtner_Oma.wav>;text;<Der Gärtner war eigentlich immer der gleichen Meinung wie die Oma. Als die Enkel versuchten, die Oma davon abzuhalten den alten Kirschbaum zu fällen, erwarteten sie daher keine Zustimmung vom Gärtner der Oma.>;left
<CSchr_T3_T5_5f_dat_Partner_Freundin.wav>;text;<Der Partner der Freundin unternahm eine Weltreise – ohne sie.>;left
<CSchr_T3_T5_5g_gen_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich der Graf und begab sich in den Garten.>;left
<CSchr_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;text;<Die Schwäbin fragte den Lehrer nach urschwäbischen Wörtern.>;left
<CSchr_T3_T5_5i_gen_Rabe_Heldin.wav>;text;<Der Rabe der Heldin kam mit einer BotschaS zum König. Als dieser dem Raben befahl, sich auf seiner Lehne niederzulassen, gehorchte der Rabe dem König ohne zu zögern.>;left
<IB_T3_T5_3a_dat_Anwalt_Diva.wav>;text;<Der Anwalt des Fahrers befragte die Diva. Die Diva führte sehr überzeugende Argumente an.>;left
<IB_T3_T5_3b_gen_Fahrer_Dame.wav>;text;<Da der Fahrer der Dame noch nie an diesem Schloss gewesen war, gab ihm der Schlossherr eine genaue Wegbeschreibung>;left
<IB_T3_T5_3c_dat_Onkel_Nonne.wav>;text;<Die Nonne gewann den Hauptpreis beim Fest der Bauernfamilie. Der Onkel des HoDesitzers hielt eine Glückwunschrede.>;left
<IB_T3_T5_3d_gen_Schwager_Tante.wav>;text;<Die Renovierung eines alten Weinguts sollte mit einem großen Fest abgeschlossen werden. Dazu half die ganze Familie mit.>;left
<IB_T3_T5_3e_dat_Gärtner_Oma.wav>;text;<Die Oma hatte beschlossen, dass sich ein Apfelbaum vor dem Haus gut machen würde, obwohl es dort reichlich Schatten gab.>;left
<IB_T3_T5_3f_gen_Partner_Freundin.wav>;text;<Bei der Aufführung war der ganze Freundeskreis der Solistin da, um die Freundin bei ihrem Auftritt zu unterstützen. Ein Platz in der ersten Reihe blieb jedoch leer.>;left
<IB_T3_T5_3g_dat_Diener_Gräfin.wav>;text;<Nach dem Abendessen erhob sich die Gräfin und begab sich in ihre Räume.>;left
<IB_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;text;<Die Schwäbin haMe einen Lehrer für das Hochdeutsche angestellt. Eine Gruppe Berliner fragte den Lehrer nach Besonderheiten des Schwäbischen.>;left
<IB_T3_T5_3i_dat_Rabe_Heldin.wav>;text;<Der Rabe lebte schon seit Jahren im höchsten Turm der Burg, war jedoch nie zutraulich geworden. Als die Heldin in den Hof stürmte, befahl sie dem Raben, zu ihr zu kommen.>;left
