name;type;content;autoplay
<AG_T3_T5_3a_dat_Anwalt_Diva>;audio;<AG_T3_T5_3a_dat_Anwalt_Diva.wav>;FALSE
<AG_T3_T5_3b_gen_Fahrer_Dame>;audio;<AG_T3_T5_3b_gen_Fahrer_Dame.wav>;FALSE
<AG_T3_T5_3c_dat_Onkel_Nonne>;audio;<AG_T3_T5_3c_dat_Onkel_Nonne.wav>;FALSE
<AG_T3_T5_3d_gen_Schwager_Tante>;audio;<AG_T3_T5_3d_gen_Schwager_Tante.wav>;FALSE
<AG_T3_T5_3e_dat_Gärtner_Oma>;audio;<AG_T3_T5_3e_dat_Gärtner_Oma.wav>;FALSE
<AG_T3_T5_3f_gen_Partner_Freundin>;audio;<AG_T3_T5_3f_gen_Partner_Freundin.wav>;FALSE
<AG_T3_T5_3g_dat_Diener_Gräfin>;audio;<AG_T3_T5_3g_dat_Diener_Gräfin.wav>;FALSE
<AG_T3_T5_3h_gen_Lehrer_Schwäbin>;audio;<AG_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;FALSE
<AG_T3_T5_3i_dat_Rabe_Heldin>;audio;<AG_T3_T5_3i_dat_Rabe_Heldin.wav>;FALSE
<AG_T3_T5_5a_gen_Anwalt_Diva>;audio;<AG_T3_T5_5a_gen_Anwalt_Diva.wav>;FALSE
<AG_T3_T5_5b_dat_Fahrer_Dame>;audio;<AG_T3_T5_5b_dat_Fahrer_Dame.wav>;FALSE
<AG_T3_T5_5c_gen_Onkel_Nonne>;audio;<AG_T3_T5_5c_gen_Onkel_Nonne.wav>;FALSE
<AG_T3_T5_5d_dat_Schwager_Tante>;audio;<AG_T3_T5_5d_dat_Schwager_Tante.wav>;FALSE
<AG_T3_T5_5e_gen_Gärtner_Oma>;audio;<AG_T3_T5_5e_gen_Gärtner_Oma.wav>;FALSE
<AG_T3_T5_5f_dat_Partner_Freundin>;audio;<AG_T3_T5_5f_dat_Partner_Freundin.wav>;FALSE
<AG_T3_T5_5g_gen_Diener_Gräfin>;audio;<AG_T3_T5_5g_gen_Diener_Gräfin.wav>;FALSE
<AG_T3_T5_5h_dat_Lehrer_Schwäbin>;audio;<AG_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;FALSE
<AG_T3_T5_5i_gen_Rabe_Heldin>;audio;<AG_T3_T5_5i_gen_Rabe_Heldin.wav>;FALSE
<AH_T3_T5_3a_dat_Anwalt_Diva>;audio;<AH_T3_T5_3a_dat_Anwalt_Diva.wav>;FALSE
<AH_T3_T5_3b_gen_Fahrer_Dame>;audio;<AH_T3_T5_3b_gen_Fahrer_Dame.wav>;FALSE
<AH_T3_T5_3c_dat_Onkel_Nonne>;audio;<AH_T3_T5_3c_dat_Onkel_Nonne.wav>;FALSE
<AH_T3_T5_3d_gen_Schwager_Tante>;audio;<AH_T3_T5_3d_gen_Schwager_Tante.wav>;FALSE
<AH_T3_T5_3e_dat_Gärtner_Oma>;audio;<AH_T3_T5_3e_dat_Gärtner_Oma.wav>;FALSE
<AH_T3_T5_3f_gen_Partner_Freundin>;audio;<AH_T3_T5_3f_gen_Partner_Freundin.wav>;FALSE
<AH_T3_T5_3g_dat_Diener_Gräfin>;audio;<AH_T3_T5_3g_dat_Diener_Gräfin.wav>;FALSE
<AH_T3_T5_3h_gen_Lehrer_Schwäbin>;audio;<AH_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;FALSE
<AH_T3_T5_3i_dat_Rabe_Heldin>;audio;<AH_T3_T5_3i_dat_Rabe_Heldin.wav>;FALSE
<AH_T3_T5_5a_gen_Anwalt_Diva>;audio;<AH_T3_T5_5a_gen_Anwalt_Diva.wav>;FALSE
<AH_T3_T5_5b_dat_Fahrer_Dame>;audio;<AH_T3_T5_5b_dat_Fahrer_Dame.wav>;FALSE
<AH_T3_T5_5c_gen_Onkel_Nonne>;audio;<AH_T3_T5_5c_gen_Onkel_Nonne.wav>;FALSE
<AH_T3_T5_5d_dat_Schwager_Tante>;audio;<AH_T3_T5_5d_dat_Schwager_Tante.wav>;FALSE
<AH_T3_T5_5e_gen_Gärtner_Oma>;audio;<AH_T3_T5_5e_gen_Gärtner_Oma.wav>;FALSE
<AH_T3_T5_5f_dat_Partner_Freundin>;audio;<AH_T3_T5_5f_dat_Partner_Freundin.wav>;FALSE
<AH_T3_T5_5g_gen_Diener_Gräfin>;audio;<AH_T3_T5_5g_gen_Diener_Gräfin.wav>;FALSE
<AH_T3_T5_5h_dat_Lehrer_Schwäbin>;audio;<AH_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;FALSE
<AH_T3_T5_5i_gen_Rabe_Heldin>;audio;<AH_T3_T5_5i_gen_Rabe_Heldin.wav>;FALSE
<AP_T3_T5_3a_dat_Anwalt_Diva>;audio;<AP_T3_T5_3a_dat_Anwalt_Diva.wav>;FALSE
<AP_T3_T5_3b_gen_Fahrer_Dame>;audio;<AP_T3_T5_3b_gen_Fahrer_Dame.wav>;FALSE
<AP_T3_T5_3c_dat_Onkel_Nonne>;audio;<AP_T3_T5_3c_dat_Onkel_Nonne.wav>;FALSE
<AP_T3_T5_3d_gen_Schwager_Tante>;audio;<AP_T3_T5_3d_gen_Schwager_Tante.wav>;FALSE
<AP_T3_T5_3e_dat_Gärtner_Oma>;audio;<AP_T3_T5_3e_dat_Gärtner_Oma.wav>;FALSE
<AP_T3_T5_3f_gen_Partner_Freundin>;audio;<AP_T3_T5_3f_gen_Partner_Freundin.wav>;FALSE
<AP_T3_T5_3g_dat_Diener_Gräfin>;audio;<AP_T3_T5_3g_dat_Diener_Gräfin.wav>;FALSE
<AP_T3_T5_3h_gen_Lehrer_Schwäbin>;audio;<AP_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;FALSE
<AP_T3_T5_3i_dat_Rabe_Heldin>;audio;<AP_T3_T5_3i_dat_Rabe_Heldin.wav>;FALSE
<AP_T3_T5_5a_gen_Anwalt_Diva>;audio;<AP_T3_T5_5a_gen_Anwalt_Diva.wav>;FALSE
<AP_T3_T5_5b_dat_Fahrer_Dame>;audio;<AP_T3_T5_5b_dat_Fahrer_Dame.wav>;FALSE
<AP_T3_T5_5c_gen_Onkel_Nonne>;audio;<AP_T3_T5_5c_gen_Onkel_Nonne.wav>;FALSE
<AP_T3_T5_5d_dat_Schwager_Tante>;audio;<AP_T3_T5_5d_dat_Schwager_Tante.wav>;FALSE
<AP_T3_T5_5e_gen_Gärtner_Oma>;audio;<AP_T3_T5_5e_gen_Gärtner_Oma.wav>;FALSE
<AP_T3_T5_5f_dat_Partner_Freundin>;audio;<AP_T3_T5_5f_dat_Partner_Freundin.wav>;FALSE
<AP_T3_T5_5g_gen_Diener_Gräfin>;audio;<AP_T3_T5_5g_gen_Diener_Gräfin.wav>;FALSE
<AP_T3_T5_5h_dat_Lehrer_Schwäbin>;audio;<AP_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;FALSE
<AP_T3_T5_5i_gen_Rabe_Heldin>;audio;<AP_T3_T5_5i_gen_Rabe_Heldin.wav>;FALSE
<BH_T3_T5_3a_dat_Anwalt_Diva>;audio;<BH_T3_T5_3a_dat_Anwalt_Diva.wav>;FALSE
<BH_T3_T5_3b_gen_Fahrer_Dame>;audio;<BH_T3_T5_3b_gen_Fahrer_Dame.wav>;FALSE
<BH_T3_T5_3c_dat_Onkel_Nonne>;audio;<BH_T3_T5_3c_dat_Onkel_Nonne.wav>;FALSE
<BH_T3_T5_3d_gen_Schwager_Tante>;audio;<BH_T3_T5_3d_gen_Schwager_Tante.wav>;FALSE
<BH_T3_T5_3e_dat_Gärtner_Oma>;audio;<BH_T3_T5_3e_dat_Gärtner_Oma.wav>;FALSE
<BH_T3_T5_3f_gen_Partner_Freundin>;audio;<BH_T3_T5_3f_gen_Partner_Freundin.wav>;FALSE
<BH_T3_T5_3g_dat_Diener_Gräfin>;audio;<BH_T3_T5_3g_dat_Diener_Gräfin.wav>;FALSE
<BH_T3_T5_3h_gen_Lehrer_Schwäbin>;audio;<BH_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;FALSE
<BH_T3_T5_3i_dat_Rabe_Heldin>;audio;<BH_T3_T5_3i_dat_Rabe_Heldin.wav>;FALSE
<BH_T3_T5_5a_gen_Anwalt_Diva>;audio;<BH_T3_T5_5a_gen_Anwalt_Diva.wav>;FALSE
<BH_T3_T5_5b_dat_Fahrer_Dame>;audio;<BH_T3_T5_5b_dat_Fahrer_Dame.wav>;FALSE
<BH_T3_T5_5c_gen_Onkel_Nonne>;audio;<BH_T3_T5_5c_gen_Onkel_Nonne.wav>;FALSE
<BH_T3_T5_5d_dat_Schwager_Tante>;audio;<BH_T3_T5_5d_dat_Schwager_Tante.wav>;FALSE
<BH_T3_T5_5e_gen_Gärtner_Oma>;audio;<BH_T3_T5_5e_gen_Gärtner_Oma.wav>;FALSE
<BH_T3_T5_5f_dat_Partner_Freundin>;audio;<BH_T3_T5_5f_dat_Partner_Freundin.wav>;FALSE
<BH_T3_T5_5g_gen_Diener_Gräfin>;audio;<BH_T3_T5_5g_gen_Diener_Gräfin.wav>;FALSE
<BH_T3_T5_5h_dat_Lehrer_Schwäbin>;audio;<BH_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;FALSE
<BH_T3_T5_5i_gen_Rabe_Heldin>;audio;<BH_T3_T5_5i_gen_Rabe_Heldin.wav>;FALSE
<CF_T3_T5_3a_dat_Anwalt_Diva>;audio;<CF_T3_T5_3a_dat_Anwalt_Diva.wav>;FALSE
<CF_T3_T5_3b_gen_Fahrer_Dame>;audio;<CF_T3_T5_3b_gen_Fahrer_Dame.wav>;FALSE
<CF_T3_T5_3c_dat_Onkel_Nonne>;audio;<CF_T3_T5_3c_dat_Onkel_Nonne.wav>;FALSE
<CF_T3_T5_3d_gen_Schwager_Tante>;audio;<CF_T3_T5_3d_gen_Schwager_Tante.wav>;FALSE
<CF_T3_T5_3e_dat_Gärtner_Oma>;audio;<CF_T3_T5_3e_dat_Gärtner_Oma.wav>;FALSE
<CF_T3_T5_3f_gen_Partner_Freundin>;audio;<CF_T3_T5_3f_gen_Partner_Freundin.wav>;FALSE
<CF_T3_T5_3g_dat_Diener_Gräfin>;audio;<CF_T3_T5_3g_dat_Diener_Gräfin.wav>;FALSE
<CF_T3_T5_3h_gen_Lehrer_Schwäbin>;audio;<CF_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;FALSE
<CF_T3_T5_3i_dat_Rabe_Heldin>;audio;<CF_T3_T5_3i_dat_Rabe_Heldin.wav>;FALSE
<CF_T3_T5_5a_gen_Anwalt_Diva>;audio;<CF_T3_T5_5a_gen_Anwalt_Diva.wav>;FALSE
<CF_T3_T5_5b_dat_Fahrer_Dame>;audio;<CF_T3_T5_5b_dat_Fahrer_Dame.wav>;FALSE
<CF_T3_T5_5c_gen_Onkel_Nonne>;audio;<CF_T3_T5_5c_gen_Onkel_Nonne.wav>;FALSE
<CF_T3_T5_5d_dat_Schwager_Tante>;audio;<CF_T3_T5_5d_dat_Schwager_Tante.wav>;FALSE
<CF_T3_T5_5e_gen_Gärtner_Oma>;audio;<CF_T3_T5_5e_gen_Gärtner_Oma.wav>;FALSE
<CF_T3_T5_5f_dat_Partner_Freundin>;audio;<CF_T3_T5_5f_dat_Partner_Freundin.wav>;FALSE
<CF_T3_T5_5g_gen_Diener_Gräfin>;audio;<CF_T3_T5_5g_gen_Diener_Gräfin.wav>;FALSE
<CF_T3_T5_5h_dat_Lehrer_Schwäbin>;audio;<CF_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;FALSE
<CF_T3_T5_5i_gen_Rabe_Heldin>;audio;<CF_T3_T5_5i_gen_Rabe_Heldin.wav>;FALSE
<CS_T3_T5_3a_dat_Anwalt_Diva>;audio;<CS_T3_T5_3a_dat_Anwalt_Diva.wav>;FALSE
<CS_T3_T5_3b_gen_Fahrer_Dame>;audio;<CS_T3_T5_3b_gen_Fahrer_Dame.wav>;FALSE
<CS_T3_T5_3c_dat_Onkel_Nonne>;audio;<CS_T3_T5_3c_dat_Onkel_Nonne.wav>;FALSE
<CS_T3_T5_3d_gen_Schwager_Tante>;audio;<CS_T3_T5_3d_gen_Schwager_Tante.wav>;FALSE
<CS_T3_T5_3e_dat_Gärtner_Oma>;audio;<CS_T3_T5_3e_dat_Gärtner_Oma.wav>;FALSE
<CS_T3_T5_3f_gen_Partner_Freundin>;audio;<CS_T3_T5_3f_gen_Partner_Freundin.wav>;FALSE
<CS_T3_T5_3g_dat_Diener_Gräfin>;audio;<CS_T3_T5_3g_dat_Diener_Gräfin.wav>;FALSE
<CS_T3_T5_3h_gen_Lehrer_Schwäbin>;audio;<CS_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;FALSE
<CS_T3_T5_3i_dat_Rabe_Heldin>;audio;<CS_T3_T5_3i_dat_Rabe_Heldin.wav>;FALSE
<CS_T3_T5_5a_gen_Anwalt_Diva>;audio;<CS_T3_T5_5a_gen_Anwalt_Diva.wav>;FALSE
<CS_T3_T5_5b_dat_Fahrer_Dame>;audio;<CS_T3_T5_5b_dat_Fahrer_Dame.wav>;FALSE
<CS_T3_T5_5c_gen_Onkel_Nonne>;audio;<CS_T3_T5_5c_gen_Onkel_Nonne.wav>;FALSE
<CS_T3_T5_5d_dat_Schwager_Tante>;audio;<CS_T3_T5_5d_dat_Schwager_Tante.wav>;FALSE
<CS_T3_T5_5e_gen_Gärtner_Oma>;audio;<CS_T3_T5_5e_gen_Gärtner_Oma.wav>;FALSE
<CS_T3_T5_5f_dat_Partner_Freundin>;audio;<CS_T3_T5_5f_dat_Partner_Freundin.wav>;FALSE
<CS_T3_T5_5g_gen_Diener_Gräfin>;audio;<CS_T3_T5_5g_gen_Diener_Gräfin.wav>;FALSE
<CS_T3_T5_5h_dat_Lehrer_Schwäbin>;audio;<CS_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;FALSE
<CS_T3_T5_5i_gen_Rabe_Heldin>;audio;<CS_T3_T5_5i_gen_Rabe_Heldin.wav>;FALSE
<CSchr_T3_T5_3a_dat_Anwalt_Diva>;audio;<CSchr_T3_T5_3a_dat_Anwalt_Diva.wav>;FALSE
<CSchr_T3_T5_3b_gen_Fahrer_Dame>;audio;<CSchr_T3_T5_3b_gen_Fahrer_Dame.wav>;FALSE
<CSchr_T3_T5_3c_dat_Onkel_Nonne>;audio;<CSchr_T3_T5_3c_dat_Onkel_Nonne.wav>;FALSE
<CSchr_T3_T5_3d_gen_Schwager_Tante>;audio;<CSchr_T3_T5_3d_gen_Schwager_Tante.wav>;FALSE
<CSchr_T3_T5_3e_dat_Gärtner_Oma>;audio;<CSchr_T3_T5_3e_dat_Gärtner_Oma.wav>;FALSE
<CSchr_T3_T5_3f_gen_Partner_Freundin>;audio;<CSchr_T3_T5_3f_gen_Partner_Freundin.wav>;FALSE
<CSchr_T3_T5_3g_dat_Diener_Gräfin>;audio;<CSchr_T3_T5_3g_dat_Diener_Gräfin.wav>;FALSE
<CSchr_T3_T5_3h_gen_Lehrer_Schwäbin>;audio;<CSchr_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;FALSE
<CSchr_T3_T5_3i_dat_Rabe_Heldin>;audio;<CSchr_T3_T5_3i_dat_Rabe_Heldin.wav>;FALSE
<CSchr_T3_T5_5a_gen_Anwalt_Diva>;audio;<CSchr_T3_T5_5a_gen_Anwalt_Diva.wav>;FALSE
<CSchr_T3_T5_5b_dat_Fahrer_Dame>;audio;<CSchr_T3_T5_5b_dat_Fahrer_Dame.wav>;FALSE
<CSchr_T3_T5_5c_gen_Onkel_Nonne>;audio;<CSchr_T3_T5_5c_gen_Onkel_Nonne.wav>;FALSE
<CSchr_T3_T5_5d_dat_Schwager_Tante>;audio;<CSchr_T3_T5_5d_dat_Schwager_Tante.wav>;FALSE
<CSchr_T3_T5_5e_gen_Gärtner_Oma>;audio;<CSchr_T3_T5_5e_gen_Gärtner_Oma.wav>;FALSE
<CSchr_T3_T5_5f_dat_Partner_Freundin>;audio;<CSchr_T3_T5_5f_dat_Partner_Freundin.wav>;FALSE
<CSchr_T3_T5_5g_gen_Diener_Gräfin>;audio;<CSchr_T3_T5_5g_gen_Diener_Gräfin.wav>;FALSE
<CSchr_T3_T5_5h_dat_Lehrer_Schwäbin>;audio;<CSchr_T3_T5_5h_dat_Lehrer_Schwäbin.wav>;FALSE
<CSchr_T3_T5_5i_gen_Rabe_Heldin>;audio;<CSchr_T3_T5_5i_gen_Rabe_Heldin.wav>;FALSE
<IB_T3_T5_3a_dat_Anwalt_Diva>;audio;<IB_T3_T5_3a_dat_Anwalt_Diva.wav>;FALSE
<IB_T3_T5_3b_gen_Fahrer_Dame>;audio;<IB_T3_T5_3b_gen_Fahrer_Dame.wav>;FALSE
<IB_T3_T5_3c_dat_Onkel_Nonne>;audio;<IB_T3_T5_3c_dat_Onkel_Nonne.wav>;FALSE
<IB_T3_T5_3d_gen_Schwager_Tante>;audio;<IB_T3_T5_3d_gen_Schwager_Tante.wav>;FALSE
<IB_T3_T5_3e_dat_Gärtner_Oma>;audio;<IB_T3_T5_3e_dat_Gärtner_Oma.wav>;FALSE
<IB_T3_T5_3f_gen_Partner_Freundin>;audio;<IB_T3_T5_3f_gen_Partner_Freundin.wav>;FALSE
<IB_T3_T5_3g_dat_Diener_Gräfin>;audio;<IB_T3_T5_3g_dat_Diener_Gräfin.wav>;FALSE
<IB_T3_T5_3h_gen_Lehrer_Schwäbin>;audio;<IB_T3_T5_3h_gen_Lehrer_Schwäbin.wav>;FALSE
<IB_T3_T5_3i_dat_Rabe_Heldin>;audio;<IB_T3_T5_3i_dat_Rabe_Heldin.wav>;FALSE
